		  Graph 1
Frequency(GHz)	Intensity
0.05       		91159570422.74327
0.05689655 		65443279198.91724
0.0637931  		48729963719.629265
0.07068966 		37358649483.8938
0.07758621		29331384445.186867
0.08448276		23490310676.87647
0.09137931 		19130733730.180416
0.09827586 		15805920763.113787
0.10517241 		13222739942.683466
0.11206897 		11183081109.179937
0.11896552 		9549580559.033995
0.12586207		8224834943.892816
0.13275862 		7138395544.348822
0.13965517 		6238403772.65601
0.14655172 		5486078749.74286
0.15344828 		4852004395.290478
0.16034483 		4313579075.868865
0.16724138		3853232474.025972
0.17413793 		3457158635.313396
0.18103448 		3114402440.8837276
0.18793103 		2816191981.3624425
0.19482759 		2555444556.582697
0.20172414 		2326396941.8208165
0.20862069		2124325714.2411537
0.21551724 		1945333611.2246206
0.22241379 		1786184828.388642
0.22931034 		1644176956.0506744
0.2362069  		1517040603.8537567
0.24310345 		1402860134.660632
0.25 			1300010625.4738405
0.05      		5455985009.254626
0.05689655 		3696416697.6283016
0.0637931  		2618552079.5740776
0.07068966 		1921889161.6466022
0.07758621 		1451819666.9499252
0.08448276		1123257549.9764502
0.09137931 		886741389.7316183
0.09827586 		712181775.927543
0.10517241 		580558473.8476661
0.11206897 		479447365.0589783
0.11896552 		400499231.4634161
0.12586207		337962263.365917
0.13275862 		287786349.05122805
0.13965517 		247063630.1349359
0.14655172		213669727.50249368
0.15344828 		186028167.5505433
0.16034483 		162952391.14246237
0.16724138		143537747.5558768
0.17413793 		127086365.3813621
0.18103448 		113054058.0847695
0.18793103 		101012253.26951073
0.19482759 		90620327.95475616
0.20172414 		81605256.67696224
0.20862069		73746467.91016479
0.21551724 		66864456.2154559
0.22241379 		60812134.02901158
0.22931034 		55468203.45448366
0.2362069  		50732032.45429532
0.24310345 		46519662.00027663
0.25       		42760670.956583366
0.05       		8237504172.981015
0.05689655 		5590267882.933821
0.0637931  		3966055849.850967
0.07068966 		2914779312.7748885
0.07758621 		2204529396.6771946
0.08448276		1707512003.7855968
0.09137931		1349350993.055123
0.09827586		1084751244.1817863
0.10517241 		885052015.0718118
0.11206897 		731514602.3600881
0.11896552 		611535393.618055
0.12586207		516424676.93751144
0.13275862 		440058966.70950246
0.13965517 		378038621.0889285
0.14655172 		327147225.7893723
0.15344828 		284996377.1222059
0.16034483 		249787294.89285725
0.16724138		220147754.6305892
0.17413793 		195018590.28857273
0.18103448 		173573439.20442453
0.18793103 		155161164.95020935
0.19482759 		139263996.1746932
0.20172414 		125466715.50760949
0.20862069		113433722.38387519
0.21551724 		102891776.4607921
0.22241379 		93616886.67171207
0.22931034 		85424258.31239429
0.2362069  		78160518.5707618
0.24310345 		71697655.62627323
0.25     		65928257.860382676
0.05       		7960430975.517334
0.05689655 		5431180214.999089
0.0637931  		3871908029.964569
0.07068966 		2858273187.3103666
0.07758621 		2170722638.7973065
0.08448276		1687813699.2735522
0.09137931 		1338621607.1139283
0.09827586 		1079814452.7667468
0.10517241 		883891641.3044406
0.11206897 		732822490.195444
0.11896552 		614447486.531514
0.12586207		520362083.88551855
0.13275862 		444629627.8828325
0.13965517 		382975012.6399443
0.14655172 		332266068.16660905
0.15344828 		290172094.4033609
0.16034483 		254934247.84793913
0.16724138		225208176.62119424
0.17413793 		199954292.1298238
0.18103448 		178360042.4497295
0.18793103 		159784054.35894588
0.19482759 		143715455.3929387
0.20172414 		129743886.01249595
0.20862069		117537140.87953621
0.21551724 		106824322.29491077
0.22241379 		97383022.14619164
0.22931034 		89029479.66245906
0.2362069  		81610959.36989717
0.24310345 		74999801.03257838
0.25			69088739.79610562
0.05      		5339945906.750807
0.05689655		3628726817.9944177
0.0637931 		2577486189.2184725
0.07068966 		1896302447.801067
0.07758621 		1435622448.7426002
0.08448276		1112949894.4855351
0.09137931 		880227185.6024362
0.09827586 		708162191.5610878
0.10517241		578205516.8910526
0.11206897 		478220465.89224046
0.11896552 		400038325.26002914
0.12586207		338023452.7665613
0.13275862 		288202102.80932873
0.13965517 		247717555.20355287
0.14655172 		214480231.93890175
0.15344828 		186937677.89659524
0.16034483 		163920114.36985886
0.16724138		144534738.4569584
0.17413793 		128092119.41261175
0.18103448 		114054129.33896866
0.18793103 		101996571.10115293
0.19482759 		91581995.873095
0.20172414 		82539688.02506094
0.20862069		74650759.23078816
0.21551724		67736929.98375751
0.22241379 		61652003.12712542
0.22931034 		56275323.85037374
0.2362069  		51506720.2445283
0.24310345 		47262557.72264766
0.25      		43472638.81766258
0.05       		62356389657.19675
0.05689655 		42319072686.5071
0.0637931  		30030987799.35071
0.07068966 		22079625980.65711
0.07758621 		16708225821.36827
0.08448276		12949381515.813025
0.09137931 		10240363935.077457
0.09827586 		8238612074.618306
0.10517241 		6727436232.750764
0.11206897 		5565194693.931627
0.11896552 		4656634518.430758
0.12586207		3936088746.297833
0.13275862 		3357285052.901745
0.13965517 		2886977316.4291677
0.14655172		2500859495.2447863
0.15344828		2180881303.906323
0.16034483		1913447019.6249726
0.16724138		1688183519.2415526
0.17413793		1497082884.2827675
0.18103448		1333896158.9536622
0.18793103 		1193698425.9693453
0.19482759 		1072572597.3787858
0.20172414 		967376669.9743241
0.20862069		875570452.5899535
0.21551724 		795085198.2673768
0.22241379 		724224547.8686298
0.22931034 		661588571.0072267
0.2362069  		606015016.5826954
0.24310345		556533506.8929691
0.25			512329552.80611646
0.05       		23069339728.37087
0.05689655 		15999043559.791908
0.0637931  		11578680024.954897
0.07068966 		8667830373.75406
0.07758621 		6669591841.106495
0.08448276		5250269569.379927
0.09137931 		4213046560.136049
0.09827586 		3436559969.443999
0.10517241 		2843113389.8087573
0.11206897 		2381343661.9128704
0.11896552 		2016339828.8166933
0.12586207		1723790384.8000596
0.13275862 		1486398983.9777174
0.13965517 		1291624062.0140107
0.14655172 		1130215834.741535
0.15344828 		995247169.3783985
0.16034483 		881458094.7484165
0.16724138		784804025.8949717
0.17413793 		702139027.4995414
0.18103448 		630990265.5675023
0.18793103 		569395086.4883125
0.19482759 		515781780.5233629
0.20172414 		468881254.48238146
0.20862069		427660864.63664764
0.21551724 		391274332.61131996
0.22241379 		359023466.7234967
0.22931034 		330328641.0736468
0.2362069		304705835.87478375
0.24310345		281748639.0413492
0.25			261114031.85896233
0.05       		184372641639.66013
0.05689655 		125847606387.73598
0.0637931  		89775976802.80107
0.07068966 		66327577196.928215
0.07758621		50420257287.358025
0.08448276		39244518890.50342
0.09137931 		31160248502.223644
0.09827586 		25165697814.520065
0.10517241 		20625222780.122814
0.11206897 		17122103753.523903
0.11896552 		14375318420.912554
0.12586207		12190617277.096138
0.13275862 		10430775462.270195
0.13965517 		8996959394.705256
0.14655172 		7816744117.677726
0.15344828 		6836224387.537653
0.16034483 		6014710163.867008
0.16724138		5321091219.263564
0.17413793 		4731302176.015822
0.18103448 		4226526756.3066716
0.18793103 		3791907168.202702
0.19482759 		3415604130.4351134
0.20172414 		3088103832.0447583
0.20862069		2801701128.7334003
0.21551724 		2550110082.442831
0.22241379 		2328167577.1698003
0.22931034 		2131605696.4311576
0.2362069  		1956875409.172077
0.24310345 		1801008900.4014006
0.25 			1661511264.6930497
0.05       		6824447291.282653
0.05689655 		4598905446.416348
0.0637931  		3242510327.8494816
0.07068966 		2369776524.307818
0.07758621 		1783295516.18752
0.08448276		1374879971.9066916
0.09137931 		1081877045.8377523
0.09827586 		866304092.6584433
0.10517241 		704227776.3418559
0.11206897 		580060837.7415622
0.11896552 		483357183.8845619
0.12586207		406938996.9519234
0.13275862		345764291.6798913
0.13965517		296221351.08927876
0.14655172		255677293.89979443 
0.15344828		222182310.11583567 
0.16034483		194271714.61506593 
0.16724138		170830894.35471833
0.17413793		151001542.67248693 
0.18103448		134115513.59428985 
0.18793103		119647474.68157461 
0.19482759		107180558.39698644
0.20172414		96381133.2898779
0.20862069		86980060.30013207
0.21551724		78758618.44075726 
0.22241379		71537831.63238627 
0.22931034		65170299.77164125 
0.2362069 		59533892.29720216 
0.24310345		54526840.08354336 
0.25      		50063886.49278583




