#synchrotron_healpix_55_PDDE_intlat
# Frequency [Hz]            Intensity [erg cm-2 s-1 sr-1 Hz-1]
5.520614389124355465e+07    5.912305974795494140e-18
6.624737266949228197e+07    5.280741988790492473e-18
7.949684720339076221e+07    4.696068466818390999e-18
9.539621664406894147e+07    4.158433575277177427e-18
1.144754599728827626e+08    3.666846022245190635e-18
1.373705519674593508e+08    3.219635955569803004e-18
1.648446623609512448e+08    2.814740533333416931e-18
1.978135948331408501e+08    2.449877960236558874e-18
2.373763137997699380e+08    2.122652039713289260e-18
2.848515765597230196e+08    1.830614566823428868e-18
3.418218918716676831e+08    1.571303109641572555e-18
4.101862702460013032e+08    1.342265278964705420e-18
4.922235242952017188e+08    1.141076324352787199e-18
